"Стандартная";"Электроды мембранные анионитовые";"2018-05-07T19:00:00.000Z";"164757";"8656-82";"Нет данных";"Нет";"Действует";"*)";"Опубликована";["ЭМ-А-01"];"Нет";"НПО \"Аналитприбор\", Грузия, г.Тбилиси";"008656-008018";"Заводской номер";"ГРУЗИЯ, г.Тбилиси, Да, НПО \"Аналитприбор\"";"387157"
"Стандартная";"Установка для автоматизированной поверки pH-метров";"2018-05-07T19:00:00.000Z";"164756";"8655-82";"Нет данных";"Нет";"Действует";"*)";"Опубликована";["УАПП-1"];"Нет";"Нет данных";"008655-008018";"Заводской номер";", , Да, ";"387156"
"Стандартная";"Полианализаторы";"2018-05-07T19:00:00.000Z";"164755";"8654-82";"Нет данных";"Нет";"Действует";"*)";"Опубликована";["ПА9-01"];"Нет";"ПО им.С.П.Королева, Украина, г.Киев";"008654-008018";"Заводской номер";"УКРАИНА, г.Киев, Да, ПО им.С.П.Королева";"387155"
"Стандартная";"Амперметры и вольтметры";"2018-05-07T19:00:00.000Z";"164754";"8653-82";"Нет данных";"Нет";"Действует";"*)";"Опубликована";["М316"];"Нет";"Завод \"ЗИП\", г.Краснодар";"008653-008018";"Заводской номер";"РОССИЯ, г.Краснодар, Да, Завод \"ЗИП\"";"387154"
"Стандартная";"Амперметры и вольтметры узкопрофильные контактные";"2018-05-07T19:00:00.000Z";"164753";"8652-82";"Нет данных";"Нет";"Действует";"*)";"Опубликована";["Ф306К"];"Нет";"Завод \"ЗИП\", г.Краснодар";"008652-008018";"Заводской номер";"РОССИЯ, г.Краснодар, Да, Завод \"ЗИП\"";"387153"
"Стандартная";"Термопреобразователи сопротивления";"2018-05-07T19:00:00.000Z";"164752";"8651-82";"Нет данных";"Нет";"Действует";"*)";"Опубликована";["ТСП-341-01"];"Нет";"П/я А-7843, Украина, г.Львов";"008651-008018";"Заводской номер";"УКРАИНА, г.Львов, Да, П/я А-7843";"387152"
"Стандартная";"Блоки развязки";"2018-05-07T19:00:00.000Z";"164751";"8650-82";"Нет данных";"Нет";"Действует";"*)";"Опубликована";["БАС.10-003УХЛ"];"Нет";"ПО \"Львовприбор\", Украина, г.Львов";"008650-008018";"Заводской номер";"УКРАИНА, г.Львов, Да, ПО \"Львовприбор\"";"387151"
"Стандартная";"Усилители измерительные многоканальные";"2018-05-07T19:00:00.000Z";"164747";"8649-82";"Нет данных";"Нет";"Действует";"*)";"Опубликована";["Ф89"];"Нет";"Нет данных";"008649-008018";"Заводской номер";", , Да, ";"387147"
"Стандартная";"Измерители";"2018-05-07T19:00:00.000Z";"164746";"8648-82";"Нет данных";"Нет";"Действует";"*)";"Опубликована";["Э8031"];"Нет";"Завод электроизмерительных приборов ПО \"Электроизмеритель\", Беларусь, г.Витебск";"008648-008018";"Заводской номер";"БЕЛАРУСЬ, г.Витебск, Да, Завод электроизмерительных приборов ПО \"Электроизмеритель\"";"387146"
"Стандартная";"Амперметры и вольтметры";"2018-05-07T19:00:00.000Z";"164745";"8647-82";"Нет данных";"Нет";"Действует";"*)";"Опубликована";["Э8032"];"Нет";"Нет данных";"008647-008018";"Заводской номер";", , Да, ";"387145"
"Стандартная";"Усилители постоянного тока измерительные быстродействующие";"2018-05-07T19:00:00.000Z";"164743";"8646-82";"Нет данных";"Нет";"Действует";"*)";"Опубликована";["Ф8025"];"Нет";"Нет данных";"008646-008018";"Заводской номер";", , Да, ";"387143"
"Стандартная";"Усилители постоянного тока измерительные быстродействующие";"2018-05-07T19:00:00.000Z";"164744";"8646-89";"Нет данных";"Нет";"Действует";;"Опубликована";["Ф8025-М1, Ф8025-М1-А"];"Нет";"ПО \"Электроизмеритель\", Беларусь, г.Витебск";"008646-008011";"Срок свидетельства";"БЕЛАРУСЬ, г.Витебск, Да, ПО \"Электроизмеритель\"";"387144"
"Стандартная";"Усилители постоянного тока быстродействующие";"2018-05-07T19:00:00.000Z";"164741";"8645-82";"1 год";"Нет";"Действует";"*)";"Опубликована";["Ф8024"];"Да";"ПО \"Электроизмеритель\", Беларусь, г.Витебск";"008645-008018";"Заводской номер";"БЕЛАРУСЬ, г.Витебск, Да, ПО \"Электроизмеритель\"";"387141"
"Стандартная";"Усилители постоянного тока";"2018-05-07T19:00:00.000Z";"164742";"8645-89";"Нет данных";"Нет";"Действует";;"Опубликована";["Ф8024"];"Нет";"ПО \"Электроизмеритель\", Беларусь, г.Витебск";"008645-008011";"Срок свидетельства";"БЕЛАРУСЬ, г.Витебск, Да, ПО \"Электроизмеритель\"";"387142"
"Стандартная";"Преобразователи измерительные";"2018-05-07T19:00:00.000Z";"164740";"8644-82";"Нет данных";"Нет";"Действует";"*)";"Опубликована";["3Б08"];"Нет";"ОКБА НПО \"Химавтоматика\", Украина, г.Северодонецк";"008644-008018";"Заводской номер";"УКРАИНА, г.Северодонецк, Да, ОКБА НПО \"Химавтоматика\"";"387140"
"Стандартная";"Комплекс измерительно-вычислительный";"2018-05-07T19:00:00.000Z";"164739";"8643-82";"Нет данных";"Нет";"Действует";"*)";"Опубликована";["ИВК МЛ"];"Нет";"Нет данных";"008643-008018";"Заводской номер";", , Да, ";"387139"
"Стандартная";"Преобразователи измерительные";"2018-05-07T19:00:00.000Z";"164738";"8642-82";"Нет данных";"Нет";"Действует";"*)";"Опубликована";["Ш79"];"Нет";"ПО \"Микроприбор\", Украина, г.Львов";"008642-008018";"Заводской номер";"УКРАИНА, г.Львов, Да, ПО \"Микроприбор\"";"387138"
"Стандартная";"Преобразователи измерительные";"2018-05-07T19:00:00.000Z";"164737";"8641-82";"Нет данных";"Нет";"Действует";"*)";"Опубликована";["Ш78"];"Нет";"ПО \"Микроприбор\", Украина, г.Львов";"008641-008018";"Заводской номер";"УКРАИНА, г.Львов, Да, ПО \"Микроприбор\"";"387137"
"Стандартная";"Влагомеры хлопка-сырца сверхвысокочастотные";"2018-05-07T19:00:00.000Z";"164736";"8640-82";"1 год (ГОСТ 8.002-71)";"Нет";"Действует";"*)";"Опубликована";["ВХС-2"];"Да";"Нет данных";"008640-008018";"Заводской номер";", , Да, ";"387136"
"Стандартная";"Устройство измерения скорости изменения параметра";"2018-05-07T19:00:00.000Z";"164734";"8639-82";"Нет данных";"Нет";"Действует";"*)";"Опубликована";["А335-28"];"Нет";"Нет данных";"008639-008018";"Заводской номер";", , Да, ";"387134"
"Стандартная";"Приборы комбинированные цифровые";"2018-05-07T19:00:00.000Z";"164733";"8638-82";"Нет данных";"Нет";"Действует";"*)";"Опубликована";["Щ301"];"Нет";"Завод \"ЗИП\", г.Краснодар";"008638-008018";"Заводской номер";"РОССИЯ, г.Краснодар, Да, Завод \"ЗИП\"";"387133"
"Стандартная";"Приборы комбинированные цифровые";"2018-05-07T19:00:00.000Z";"164732";"8638-00";"1 год";"Нет";"Действует";;"Опубликована";["Щ 301"];"Да";"ОАО \"Краснодарский ЗИП\", г.Краснодар";"008638-008000";"Срок свидетельства";"РОССИЯ, г.Краснодар, Да, ОАО \"Краснодарский ЗИП\"";"387132"
"Стандартная";"Комплект малогабаритного анализатора электрических сигналов";"2018-05-07T19:00:00.000Z";"164730";"8637-82";"Нет данных";"Нет";"Действует";"*)";"Опубликована";["КМАЭС"];"Нет";"Нет данных";"008637-008018";"Заводской номер";", , Да, ";"387130"
"Стандартная";"Пульты логарифмического преобразования и управления";"2018-05-07T19:00:00.000Z";"164729";"8636-82";"Нет данных";"Нет";"Действует";"*)";"Опубликована";["ПЛПУ"];"Нет";"Опытно-экспериментальный завод геофизического приборостроения (КОЭЗГП), Украина, г.Киев";"008636-008018";"Заводской номер";"УКРАИНА, г.Киев, Да, Опытно-экспериментальный завод геофизического приборостроения (КОЭЗГП)";"387129"
